participant,item,type,condition,word_order,sol,reaches_3500ms,last_available_sample_ms_1based,n_extracted_samples
REI_b3,3,act,P,APV,4862.000000,yes,3500,3500
REI_b3,4,act,none,APV,6151.000000,yes,3500,3500
REI_b3,7,act,none,APV,4301.000000,yes,3500,3500
REI_b3,8,act,A,PV,2856.000000,no,2857,2857
RLI__b3,1,act,none,APV,2402.000000,no,2403,2403
RLI__b3,10,act,none,APV,1648.000000,no,1649,1649
RLI__b3,11,act,A,APV,1108.000000,no,1109,1109
RLI__b3,12,pass,P,PAV,2048.000000,no,2049,2049
RLI__b3,13,act,none,APV,2121.000000,no,2122,2122
RLI__b3,14,act,A,APV,1774.000000,no,1775,1775
RLI__b3,15,pass,P,PAV,1502.000000,no,1503,1503
RLI__b3,17,act,A,APV,1442.000000,no,1443,1443
RLI__b3,18,pass,P,PAV,1433.000000,no,1434,1434
RLI__b3,19,act,none,APV,1712.000000,no,1713,1713
RLI__b3,2,act,A,APV,1620.000000,no,1621,1621
RLI__b3,20,act,A,APV,1596.000000,no,1597,1597
RLI__b3,21,pass,P,PAV,1720.000000,no,1721,1721
RLI__b3,22,act,none,APV,1516.000000,no,1517,1517
RLI__b3,23,act,A,APV,1753.000000,no,1754,1754
RLI__b3,24,pass,P,PAV,1715.000000,no,1716,1716
RLI__b3,3,pass,P,PAV,1365.000000,no,1366,1366
RLI__b3,4,act,none,APV,1478.000000,no,1479,1479
RLI__b3,5,act,A,APV,1246.000000,no,1247,1247
RLI__b3,7,act,none,APV,1661.000000,no,1662,1662
RLI__b3,8,act,A,APV,1634.000000,no,1635,1635
RLI__b3,9,pass,P,PAV,1567.000000,no,1568,1568
RLI_a1,1,act,A,APV,1812.000000,no,1813,1813
RLI_a1,10,act,A,APV,3387.000000,no,3388,3388
RLI_a1,11,act,P,APV,4407.000000,yes,3500,3500
RLI_a1,13,act,A,APV,2392.000000,no,2393,2393
RLI_a1,14,act,P,APV,2428.000000,no,2429,2429
RLI_a1,15,act,none,APV,2452.000000,no,2453,2453
RLI_a1,18,act,none,APV,2817.000000,no,2818,2818
RLI_a1,19,act,A,APV,2543.000000,no,2544,2544
RLI_a1,2,act,P,APV,2081.000000,no,2082,2082
RLI_a1,20,act,P,APV,2310.000000,no,2311,2311
RLI_a1,21,act,none,APV,3411.000000,no,3412,3412
RLI_a1,22,act,A,APV,3085.000000,no,3086,3086
RLI_a1,23,act,P,APV,2860.000000,no,2861,2861
RLI_a1,24,act,none,APV,2247.000000,no,2248,2248
RLI_a1,3,act,none,APV,1644.000000,no,1645,1645
RLI_a1,4,act,A,APV,3342.000000,no,3343,3343
RLI_a1,5,pass,P,AV,2746.000000,no,2747,2747
RLI_a1,7,act,A,APV,2958.000000,no,2959,2959
RLI_a1,8,act,P,APV,3886.000000,yes,3500,3500
RLI_a1,9,act,none,APV,2878.000000,no,2879,2879
RLI_b2,1,pass,P,PAV,2882.000000,no,2883,2883
RLI_b2,10,act,P,APV,1949.000000,no,1950,1950
RLI_b2,11,act,none,APV,2441.000000,no,2442,2442
RLI_b2,12,act,A,APV,2923.000000,no,2924,2924
RLI_b2,13,pass,P,PAV,2841.000000,no,2842,2842
RLI_b2,14,act,none,P-APV,2594.000000,no,2595,2595
RLI_b2,15,act,A,APV,1961.000000,no,1962,1962
RLI_b2,16,pass,P,PVA,2784.000000,no,2785,2785
RLI_b2,17,act,none,APV,2324.000000,no,2325,2325
RLI_b2,18,act,A,APV,2537.000000,no,2538,2538
RLI_b2,19,pass,P,PAV,1971.000000,no,1972,1972
RLI_b2,2,act,none,APV,2696.000000,no,2697,2697
RLI_b2,20,act,none,APV,2668.000000,no,2669,2669
RLI_b2,21,act,A,AP-APV,2471.000000,no,2472,2472
RLI_b2,22,pass,P,PAV,2037.000000,no,2038,2038
RLI_b2,23,act,none,APV,2432.000000,no,2433,2433
RLI_b2,24,act,A,APV,2032.000000,no,2033,2033
RLI_b2,3,act,A,APV,2469.000000,no,2470,2470
RLI_b2,4,pass,P,APV,2662.000000,no,2663,2663
RLI_b2,5,act,none,APV,1736.000000,no,1737,1737
RLI_b2,6,act,A,APV,2896.000000,no,2897,2897
RLI_b2,9,act,A,APV,2069.000000,no,2070,2070
SED__a2,1,pass,P,PAV,1240.000000,no,1241,1241
SED__a2,11,act,none,APV,971.000000,no,972,972
SED__a2,13,pass,P,PAV,1172.000000,no,1173,1173
SED__a2,14,act,none,APV,1297.000000,no,1298,1298
SED__a2,15,act,A,PV,1793.000000,no,1794,1794
SED__a2,16,pass,P,APV,1262.000000,no,1263,1263
SED__a2,17,pass,none,PAV,1412.000000,no,1413,1413
SED__a2,18,act,A,PV,1154.000000,no,1155,1155
SED__a2,19,pass,P,PAV,2056.000000,no,2057,2057
SED__a2,20,act,none,APV,1289.000000,no,1290,1290
SED__a2,21,act,A,APV,1184.000000,no,1185,1185
SED__a2,22,pass,P,AV,1478.000000,no,1479,1479
SED__a2,24,act,A,APV,1303.000000,no,1304,1304
SED__a2,3,act,A,PV,1028.000000,no,1029,1029
SED__a2,4,pass,P,APV,1085.000000,no,1086,1086
SED__a2,5,pass,none,PAV,1231.000000,no,1232,1232
SED__a2,6,act,A,PV,944.000000,no,945,945
SED__a2,7,pass,P,APV,1164.000000,no,1165,1165
SED__a2,8,act,none,APV,1044.000000,no,1045,1045
SED_a3,1,act,none,APV,1063.000000,no,1064,1064
SED_a3,11,act,A,PV,2243.000000,no,2244,2244
SED_a3,15,pass,P,AV,3148.000000,no,3149,3149
SED_a3,17,pass,A,PAV,1919.000000,no,1920,1920
