participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
PRM,agent,3200,0.372222,0.484835,18,0.143669,0.600776
PRM,agent,3250,0.388889,0.476468,18,0.164279,0.613498
PRM,agent,3300,0.377778,0.466773,18,0.157739,0.597817
PRM,agent,3350,0.340000,0.481028,18,0.113241,0.566759
PRM,agent,3400,0.389412,0.484155,17,0.154562,0.624261
PRM,agent,3450,0.396471,0.492150,17,0.157743,0.635198
PRM,patient,0,0.388889,0.501631,18,0.152418,0.625360
PRM,patient,50,0.343333,0.477654,18,0.118165,0.568501
PRM,patient,100,0.294444,0.455647,18,0.079650,0.509239
PRM,patient,150,0.361111,0.475888,18,0.136775,0.585447
PRM,patient,200,0.472222,0.483815,18,0.244150,0.700295
PRM,patient,250,0.440000,0.498657,18,0.204931,0.675069
PRM,patient,300,0.426667,0.485411,18,0.197842,0.655491
PRM,patient,350,0.488889,0.490964,18,0.257446,0.720332
PRM,patient,400,0.511111,0.475925,18,0.286758,0.735464
PRM,patient,450,0.555556,0.511310,18,0.314522,0.796589
PRM,patient,500,0.515556,0.500473,18,0.279630,0.751481
PRM,patient,550,0.535556,0.489348,18,0.304875,0.766236
PRM,patient,600,0.530000,0.499140,18,0.294703,0.765297
PRM,patient,650,0.427778,0.482208,18,0.200463,0.655093
PRM,patient,700,0.352222,0.475822,18,0.127918,0.576527
PRM,patient,750,0.327778,0.452919,18,0.114270,0.541286
PRM,patient,800,0.310000,0.450790,18,0.097495,0.522505
PRM,patient,850,0.372222,0.484835,18,0.143669,0.600776
PRM,patient,900,0.334444,0.445094,18,0.124625,0.544264
PRM,patient,950,0.333333,0.485071,18,0.104669,0.561998
PRM,patient,1000,0.315556,0.435299,18,0.110354,0.520757
PRM,patient,1050,0.313333,0.462881,18,0.095129,0.531538
PRM,patient,1100,0.333333,0.485071,18,0.104669,0.561998
PRM,patient,1150,0.382222,0.458432,18,0.166116,0.598329
PRM,patient,1200,0.497778,0.483706,18,0.269757,0.725799
PRM,patient,1250,0.543333,0.502617,18,0.306398,0.780269
PRM,patient,1300,0.485556,0.503157,18,0.248365,0.722746
PRM,patient,1350,0.434444,0.500626,18,0.198447,0.670442
PRM,patient,1400,0.384444,0.496224,18,0.150522,0.618367
PRM,patient,1450,0.378889,0.464123,18,0.160099,0.597679
PRM,patient,1500,0.333333,0.485071,18,0.104669,0.561998
PRM,patient,1550,0.316667,0.465580,18,0.097190,0.536143
PRM,patient,1600,0.250000,0.428746,18,0.047887,0.452113
PRM,patient,1650,0.280000,0.419804,18,0.082103,0.477897
PRM,patient,1700,0.286667,0.456740,18,0.071357,0.501976
PRM,patient,1750,0.377778,0.489364,18,0.147089,0.608466
PRM,patient,1800,0.381111,0.471517,18,0.158836,0.603386
PRM,patient,1850,0.401111,0.494224,18,0.168132,0.634091
PRM,patient,1900,0.386667,0.488599,18,0.156339,0.616995
PRM,patient,1950,0.371111,0.481137,18,0.144301,0.597921
PRM,patient,2000,0.364444,0.455273,18,0.149827,0.579062
PRM,patient,2050,0.431111,0.498951,18,0.195904,0.666319
PRM,patient,2100,0.421111,0.493748,18,0.188356,0.653866
PRM,patient,2150,0.362222,0.479504,18,0.136182,0.588263
PRM,patient,2200,0.444444,0.506873,18,0.205502,0.683387
PRM,patient,2250,0.461111,0.498207,18,0.226254,0.695968
PRM,patient,2300,0.490000,0.505883,18,0.251524,0.728476
PRM,patient,2350,0.483333,0.502055,18,0.246663,0.720004
PRM,patient,2400,0.414444,0.484479,18,0.186059,0.642830
PRM,patient,2450,0.322222,0.451032,18,0.109604,0.534841
PRM,patient,2500,0.294444,0.453784,18,0.080528,0.508360
PRM,patient,2550,0.302222,0.451137,18,0.089554,0.514890
PRM,patient,2600,0.328889,0.478931,18,0.103119,0.554659
PRM,patient,2650,0.323333,0.472204,18,0.100734,0.545932
PRM,patient,2700,0.425556,0.494859,18,0.192277,0.658834
PRM,patient,2750,0.470000,0.473895,18,0.246604,0.693396
