participant,asc_file,block,trial_index,trial_num,image,rt_ms,n_fixations,pre_fixations,post_fixations,unknown_phase_fixations,agent_fixations,patient_fixations,other_fixations,sentence_type,word_order,fluency,trial_svg
K03,k03_2.asc,25,25,20,water-1-2-l.png,3002,13,6,7,0,12,1,0,direct,AVP,yes,participant_trials/k03_2/b025_t25_water-1-2-l.svg
K03,k03_2.asc,26,26,21,pour-1-1-r.png,2513,12,7,5,0,9,3,0,direct,AVP,yes,participant_trials/k03_2/b026_t26_pour-1-1-r.svg
K03,k03_2.asc,27,27,22,plant-2-2-r.png,3143,18,10,8,0,10,8,0,inverse,AVP,yes,participant_trials/k03_2/b027_t27_plant-2-2-r.svg
K03,k03_2.asc,28,28,23,tie-1-2-l.png,1925,12,5,7,0,4,8,0,direct,AVP,yes,participant_trials/k03_2/b028_t28_tie-1-2-l.svg
K03,k03_2.asc,29,29,24,boil-2-1-l.png,2447,13,7,6,0,7,6,0,inverse,AVP,yes,participant_trials/k03_2/b029_t29_boil-2-1-l.svg
K03,k03_2.asc,30,30,25,shoot-2-2-r.png,1841,14,7,7,0,8,5,1,inverse,AVP,yes,participant_trials/k03_2/b030_t30_shoot-2-2-r.svg
K03,k03_2.asc,31,31,26,hang-1-1-r.png,2498,11,6,5,0,7,3,1,direct,AVP,yes,participant_trials/k03_2/b031_t31_hang-1-1-r.svg
K03,k03_2.asc,32,32,27,treat-2-1-l.png,3309,17,10,7,0,10,7,0,inverse,AVP,yes,participant_trials/k03_2/b032_t32_treat-2-1-l.svg
K03,k03_2.asc,33,33,28,pull-1-2-l.png,1964,9,5,4,0,4,5,0,direct,AVP,yes,participant_trials/k03_2/b033_t33_pull-1-2-l.svg
K03,k03_2.asc,34,34,29,scold-1-1-r.png,2250,10,5,5,0,8,2,0,direct,AVP,yes,participant_trials/k03_2/b034_t34_scold-1-1-r.svg
K03,k03_2.asc,35,35,30,burn-2-2-r.png,3547,19,13,6,0,12,7,0,inverse,AVP,yes,participant_trials/k03_2/b035_t35_burn-2-2-r.svg
K03,k03_2.asc,37,37,31,hit-1-2-l.png,3937,21,12,9,0,9,12,0,direct,AVP,yes,participant_trials/k03_2/b037_t37_hit-1-2-l.svg
K03,k03_2.asc,38,38,32,saw-2-1-l.png,1950,12,5,7,0,8,4,0,intransitive,AV,yes,participant_trials/k03_2/b038_t38_saw-2-1-l.svg
K03,k03_2.asc,39,39,1,give_water-1-2-l.png,2500,16,8,8,0,11,5,0,direct,AVP,yes,participant_trials/k03_2/b039_t39_give_water-1-2-l.svg
K03,k03_2.asc,40,40,2,break-2-1-l.png,1697,12,6,6,0,8,4,0,inverse,AVP,yes,participant_trials/k03_2/b040_t40_break-2-1-l.svg
K03,k03_2.asc,41,41,3,push-1-1-r.png,2085,12,7,5,0,6,6,0,direct,AXVP,yes,participant_trials/k03_2/b041_t41_push-1-1-r.svg
K03,k03_2.asc,42,42,4,eat-2-2-r.png,2171,13,7,6,0,7,6,0,inverse,AVP,yes,participant_trials/k03_2/b042_t42_eat-2-2-r.svg
K03,k03_2.asc,43,43,5,pour-2-1-l.png,1635,12,5,7,0,8,4,0,inverse,AVP,yes,participant_trials/k03_2/b043_t43_pour-2-1-l.svg
K03,k03_2.asc,44,44,6,pick-1-2-l.png,1438,6,2,4,0,4,2,0,direct,AVP,yes,participant_trials/k03_2/b044_t44_pick-1-2-l.svg
K03,k03_2.asc,45,45,7,tie-2-2-r.png,1587,10,5,5,0,6,4,0,inverse,AVP,yes,participant_trials/k03_2/b045_t45_tie-2-2-r.svg
K03,k03_2.asc,46,46,8,carry-1-1-r.png,1402,9,3,6,0,3,5,1,direct,AVP,yes,participant_trials/k03_2/b046_t46_carry-1-1-r.svg
K03,k03_2.asc,47,47,9,call-1-2-l.png,1860,11,4,7,0,7,2,2,direct,AVP,yes,participant_trials/k03_2/b047_t47_call-1-2-l.svg
K03,k03_2.asc,48,48,10,clean-2-1-l.png,1513,9,4,5,0,7,2,0,inverse,AVP,yes,participant_trials/k03_2/b048_t48_clean-2-1-l.svg
K03,k03_2.asc,49,49,11,feed-1-1-r.png,1323,12,5,7,0,8,2,2,direct,AVP,yes,participant_trials/k03_2/b049_t49_feed-1-1-r.svg
K03,k03_2.asc,50,50,12,water-2-2-r.png,1423,12,4,8,0,10,2,0,inverse,AVP,false start,participant_trials/k03_2/b050_t50_water-2-2-r.svg
K03,k03_2.asc,51,51,13,wake-2-1-l.png,2504,10,7,3,0,8,2,0,inverse,AVP,yes,participant_trials/k03_2/b051_t51_wake-2-1-l.svg
K03,k03_2.asc,52,52,14,plant-1-2-l.png,2650,15,8,7,0,12,3,0,direct,AVP,yes,participant_trials/k03_2/b052_t52_plant-1-2-l.svg
K03,k03_2.asc,53,53,15,makelaugh-2-2-r.png,2516,14,9,5,0,7,6,1,inverse,AXVP,yes,participant_trials/k03_2/b053_t53_makelaugh-2-2-r.svg
K03,k03_2.asc,54,54,16,boil-1-1-r.png,2054,12,8,4,0,3,9,0,direct,AVP,yes,participant_trials/k03_2/b054_t54_boil-1-1-r.svg
K03,k03_2.asc,55,55,17,teach-1-2-l.png,2629,14,8,6,0,7,5,2,direct,AVP,yes,participant_trials/k03_2/b055_t55_teach-1-2-l.svg
K03,k03_2.asc,56,56,18,hang-2-1-l.png,1425,11,4,7,0,10,1,0,inverse,AVP,yes,participant_trials/k03_2/b056_t56_hang-2-1-l.svg
K03,k03_2.asc,57,57,19,dress-1-1-r.png,2175,13,7,6,0,8,4,1,direct,AVP,yes,participant_trials/k03_2/b057_t57_dress-1-1-r.svg
K03,k03_2.asc,59,59,21,cut_hair-2-1-l.png,2052,14,8,6,0,11,3,0,inverse,AVP,yes,participant_trials/k03_2/b059_t59_cut_hair-2-1-l.svg
K03,k03_2.asc,60,60,22,burn-1-2-l.png,2037,11,7,4,0,5,6,0,direct,AVP,yes,participant_trials/k03_2/b060_t60_burn-1-2-l.svg
K03,k03_2.asc,61,61,23,wash-2-2-r.png,1811,12,5,7,0,7,4,1,inverse,AVP,yes,participant_trials/k03_2/b061_t61_wash-2-2-r.svg
K03,k03_2.asc,62,62,24,saw-1-1-r.png,1815,10,5,5,0,6,4,0,intransitive,AV,yes,participant_trials/k03_2/b062_t62_saw-1-1-r.svg
K03,k03_2.asc,63,63,25,shoot-1-2-l.png,1851,12,6,6,0,6,6,0,direct,AVP,yes,participant_trials/k03_2/b063_t63_shoot-1-2-l.svg
K03,k03_2.asc,64,64,26,open-2-1-l.png,1687,11,5,6,0,8,2,1,inverse,AVP,yes,participant_trials/k03_2/b064_t64_open-2-1-l.svg
K03,k03_2.asc,65,65,27,treat-1-1-r.png,1797,12,7,5,0,5,7,0,direct,AVP,yes,participant_trials/k03_2/b065_t65_treat-1-1-r.svg
K03,k03_2.asc,66,66,28,throw-2-2-r.png,1677,10,5,5,0,5,4,1,incorporation,AV,yes,participant_trials/k03_2/b066_t66_throw-2-2-r.svg
K03,k03_2.asc,67,67,29,scold-2-1-l.png,3306,14,9,5,0,14,0,0,inverse,AVP,yes,participant_trials/k03_2/b067_t67_scold-2-1-l.svg
K03,k03_2.asc,68,68,30,cover-1-2-l.png,2063,11,6,5,0,9,2,0,direct,AVP,yes,participant_trials/k03_2/b068_t68_cover-1-2-l.svg
K03,k03_2.asc,69,69,31,hit-2-2-r.png,2418,14,9,5,0,5,8,1,inverse,AVP,yes,participant_trials/k03_2/b069_t69_hit-2-2-r.svg
K03,k03_2.asc,70,70,32,paint-1-1-r.png,3131,14,9,5,0,6,7,1,direct,AVP,yes,participant_trials/k03_2/b070_t70_paint-1-1-r.svg
K04,k04.asc,4,4,1,call-2-2-r.png,4569,17,13,4,0,11,6,0,inverse,AAVP,false start,participant_trials/k04/b004_t4_call-2-2-r.svg
K04,k04.asc,5,5,2,break-1-1-r.png,9004,31,28,3,0,15,16,0,direct,AXAAAVP,false start; russian,participant_trials/k04/b005_t5_break-1-1-r.svg
K04,k04.asc,6,6,3,feed-2-1-l.png,3435,19,11,8,0,15,4,0,direct,AVP,yes,participant_trials/k04/b006_t6_feed-2-1-l.svg
K04,k04.asc,7,7,4,eat-1-2-l.png,2867,7,5,2,0,4,3,0,direct,AVP,yes,participant_trials/k04/b007_t7_eat-1-2-l.svg
K04,k04.asc,8,8,5,wake-1-1-r.png,3980,15,9,6,0,10,5,0,direct,AVP,yes,participant_trials/k04/b008_t8_wake-1-1-r.svg
