time_bin50,ppt.no,type,cond,wo,item,sol,ppt_ids,agent_sum,patient_sum,N,agent_patient_sum,person,time_rel,time_c,time_c2,time_c3
1,4,pass,P,PAV,24,3351,IMI_a3,50,0,50,50,4,0.03635041802980734,-0.4636495819701927,0.21497093486113442,-0.0996711840841065
1,5,pass,P,APV,13,1763,KSM_b2,50,0,50,50,5,0.08598452278589853,-0.4140154772141015,0.17140881537282018,-0.07096590249528197
1,5,pass,P,AV,1,2085,KSM_b2,50,0,50,50,5,0.06734006734006734,-0.43265993265993263,0.18719461732929743,-0.0809916105279957
1,5,pass,P,AV,2,3888,KSM_a1,50,0,50,50,5,0.030413625304136254,-0.46958637469586373,0.22051136330000412,-0.10354913167129147
1,5,pass,P,AV,5,2915,KSM_a1,0,50,50,50,5,0.04319654427645788,-0.45680345572354214,0.20866939716097013,-0.09532090172687945
1,5,pass,P,AV,10,2704,KSM_b2,50,0,50,50,5,0.04752851711026616,-0.4524714828897338,0.2047304428284347,-0.09263468705925372
1,5,pass,none,AV,15,3718,KSM_a1,50,0,50,50,5,0.03207184092366902,-0.467928159076331,0.21895676205656414,-0.1024560345864423
1,6,pass,A,AV,2,1297,PRM_b3,0,20,50,20,6,0.14347202295552366,-0.35652797704447636,0.12711219841542667,-0.045319054958728164
1,6,pass,A,AV,8,1913,PRM_b3,0,50,50,50,6,0.07616146230007616,-0.42383853769992386,0.17963910603960978,-0.07613797601754976
1,6,pass,P,AV,2,2931,PRM_a1,50,0,50,50,6,0.0429000429000429,-0.4570999570999571,0.20894037078078262,-0.09550663452034487
1,6,pass,P,AV,3,1601,PRM_b3,50,0,50,50,6,0.0999000999000999,-0.4000999000999001,0.16007993005995003,-0.064047964024985
1,6,pass,P,AV,5,1897,PRM_a1,0,50,50,50,6,0.07710100231303008,-0.4228989976869699,0.1788435622446438,-0.07563276321602708
1,6,pass,P,AV,6,2625,PRM_b3,0,50,50,50,6,0.04938271604938271,-0.4506172839506173,0.20305593659503124,-0.09150051463850173
1,6,pass,P,AV,9,1477,PRM_b3,0,50,50,50,6,0.11402508551881414,-0.38597491448118587,0.14897663460875873,-0.057501243802810534
1,6,pass,P,AV,14,2843,PRM_a1,50,0,50,50,6,0.04458314757021846,-0.4554168524297815,0.20740450947704941,-0.09445550888578064
1,6,pass,P,AV,15,1884,PRM_b3,50,0,50,50,6,0.0778816199376947,-0.4221183800623053,0.1781839267864248,-0.07521471052822605
1,6,pass,P,AV,17,2111,PRM_a1,33,17,50,50,6,0.06618133686300463,-0.43381866313699535,0.18819863248596985,-0.08164407914927414
1,6,pass,P,AV,18,2100,PRM_b3,0,50,50,50,6,0.06666666666666667,-0.43333333333333335,0.1877777777777778,-0.08137037037037038
1,6,pass,P,AV,20,1830,PRM_a1,0,50,50,50,6,0.08130081300813008,-0.4186991869918699,0.17530900918765285,-0.0734017396192205
1,6,pass,P,AV,21,1409,PRM_b3,50,0,50,50,6,0.12360939431396786,-0.3763906056860321,0.1416698880486981,-0.053323214970121845
1,6,pass,P,AV,23,2524,PRM_a1,50,0,50,50,6,0.05197505197505198,-0.448024948024948,0.20072635405275738,-0.08993041434172394
1,6,pass,P,AV,24,2197,PRM_b3,50,0,50,50,6,0.06261740763932373,-0.4373825923606763,0.19130353210014553,-0.08367283479771549
1,6,pass,P,P-AV,8,3860,PRM_a1,50,0,50,50,6,0.03067484662576687,-0.46932515337423314,0.22026609958974747,-0.10337642097310233
1,6,pass,none,APV,9,1257,PRM_a1,0,50,50,50,6,0.15220700152207,-0.34779299847793,0.12095996979026942,-0.042069030589157626
1,7,pass,P,APV,4,2117,RAI_b2,48,2,50,50,7,0.06591957811470006,-0.43408042188529994,0.18842581266411998,-0.0817919562553217
1,7,pass,P,APV,11,2777,RAI_b1,50,0,50,50,7,0.045934772622875514,-0.4540652273771245,0.20617523071303978,-0.09361700301324752
1,7,pass,P,APV,12,1698,RAI_a3,50,0,50,50,7,0.09107468123861566,-0.4089253187613843,0.16721991632409977,-0.06838045758608452
1,7,pass,P,AV,1,1298,RAI_b2,0,50,50,50,7,0.14326647564469913,-0.35673352435530087,0.12725880739895404,-0.04539748286868131
1,7,pass,P,AV,2,2231,RAI_b1,50,0,50,50,7,0.061312078479460456,-0.43868792152053954,0.19244709248801106,-0.0844242150062366
1,7,pass,P,AV,5,1362,RAI_b1,50,0,50,50,7,0.13123359580052493,-0.36876640419947504,0.13598866086621061,-0.05014804947953435
