participant's id,list,number,trial_num,image,ans,agens,patiens,age,cond,agens_gender,patiens_gender,agens_num,patiens_num,patiens_animacy,practice,translation,transcription,reaction time,fluency,sentence type,word order,comments,
К07,1,58,23,wash-1-1-r.png,wash-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",old,0,m,f,2,1,1,0,Дедушка моет бабушку,Ынпыӄлавол... ынпыӄлавола кылгытэв'н'ынин н'авытк'эт,3088,pause; false start,direct,AVP,,
К07,1,59,24,saw-2-2-r.png,saw-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,1,m,n,2,2,0,0,Два мужчины пилят два бревна,ПРОПУСК,-,-,-,-,,
К07,1,60,25,shoot-2-1-l.png,shoot-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",child,1,f,m,2,1,1,0,Две девочки стреляют в мальчика,Эльг'апэляк'а к'айыкмин'ын нэкулк'эйнэв'н'ын,3741,yes,inverse,APV,,
К07,1,61,26,open-1-2-l.png,open-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",old,0,f,n,1,2,0,0,Бабушка открывает две двери ,Чачамйа н'ыччек'.. н'ыччек' замков' кунв'эн'эньн'ынин,3727,pause; false start,direct,APV,,
К07,1,62,27,treat-2-2-r.png,treat-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,1,f,m,2,2,1,0,Две женщины лечат двух мужчин,Медсестры нэкуйылн'ынэв' лекарство тыг'ылыг'ын',15613,pause,inverse,AVPX,дают лекарства больным,
К07,1,63,28,throw-1-1-r.png,throw-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",child,0,f,n,2,1,0,0,Девочка бросает мяч,"Н'авытк'атпиль кунин'лын'нин..гэнин'лылин хм.. гэнин'лылин [вспоминает, как будет мяч, подсказываем, не слышит] а, капыл!",5677,pause; false start,direct; past,AVVVP,,
К07,1,64,29,scold-1-2-l.png,scold-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",child,0,m,f,2,1,1,0,Мальчик ругает двух девочек,К''айыкмин'а котай.. кокытг'айн'ан'нэн..  эльг'апэль,3440,pause; false start,direct,AVP,,
К07,1,65,30,cover-2-1-l.png,cover-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,1,m,n,2,1,0,0,Два мужчины накрывают цветок ,"Г’уемтэв’илг’э накотактын'ын хм... [очень долго вспоминает, как будет цветок]",5791,pause,inverse,AV,,
К07,1,66,31,hit-1-1-r.png,hit-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",child,0,m,f,1,1,1,0,Мальчик бьет девочку,К'айыкмин'а.. эльг'ат.. н'авытк'атпиляйтын' гапэньнылэн,5354,pause; false start,past,APV,на девочку напал,
К07,1,67,32,paint-2-2-r.png,paint-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,1,m,n,2,2,0,0,Два мальчика красят две доски ,К'айыкмин'а...  наку..накукрасиньн'ынат доскат,4442,pause; false start,inverse,AVP,,
К07,2,1,0,cut_apple.png,tr1.wav,"(0.0,0.0)","(0.0,0.0)",n,0,n,n,0,0,0,1,Бабушка режет яблоко,--,-,-,-,-,,
